Image Name,Caption,LPIPS,PSNR,SSIM,BLEU,BERT,METEOR,LPIPS(diff_res),PSNR(diff_res),SSIM(diff_res),BLEU(diff_res),BERT(diff_res),METEOR(diff_res),LPIPS(diff_up),PSNR(diff_up),SSIM(diff_up),BLEU(diff_up),BERT(diff_up),METEOR(diff_up)
_100300374_gettyimages-477389793.png,"a large propeller plane parked on the tarmac
",0.11109545081853867,20.542795181274414,0.6977921128883354,9.170599044431425e-155,0.9750533103942871,0.5575,0.03353923559188843,19.06373405456543,0.6330591556274425,4.640083527732319e-78,0.9802564978599548,0.5902439024390245,0.04099392145872116,19.083847045898438,0.6394703658172847,4.640083527732319e-78,0.9802564978599548,0.5902439024390245
000_1H95VB.width-800.png,"a large airplane flying through the air with propellers
",0.07448987662792206,22.228225708007812,0.8642789539422657,0.7514772930752859,0.9887592792510986,0.7942949907235621,0.020380040630698204,20.62384605407715,0.8348495227236737,0.32668286409255015,0.9861751794815063,0.5499999999999999,0.012818140909075737,22.203664779663086,0.8694987824228383,0.5593684915933074,0.9786111116409302,0.8502327127659575
1l-Image-Abrams-M1A2-SEPV3-.png,"the m1a1 tank is on display in a warehouse
",0.18753118813037872,17.807472229003906,0.5537603075656033,4.284993070788676e-78,0.921940267086029,0.4043478260869566,0.029170557856559753,16.857227325439453,0.49169346101536543,4.284993070788676e-78,0.921940267086029,0.4043478260869566,0.017901508137583733,17.498626708984375,0.5392720116157345,4.744822399347669e-78,0.9257297515869141,0.5499999999999999
_83539969_b47a9225-6db2-4f83-975d-576edf0279e6.png,"a large military plane flying through the air
",0.1047777384519577,22.514617919921875,0.793134817500387,0.5410822690539396,0.9941456913948059,0.7361111111111112,0.03768237680196762,20.977537155151367,0.7488261037931545,7.183445846156676e-155,0.9860207438468933,0.39952531645569617,0.020975325256586075,21.23482894897461,0.7554744701276433,0.5410822690539396,0.9941456913948059,0.7361111111111112
000_1LC27X-e1570900274807-1024x640.png,"turkish soldiers ride on a tank in the town of al-bab, in the syrian province of aleppo, on january 29, 2015
",0.1582137793302536,20.324779510498047,0.6236225604778131,4.8228015442170574e-232,0.800171971321106,0.10050251256281408,0.06947673857212067,18.333850860595703,0.5177384975449056,2.279831007364591e-155,0.7763363718986511,0.10050251256281408,0.08299119770526886,19.36460304260254,0.5768753016151086,2.0184699279153526e-155,0.7917884588241577,0.18787878787878784
_107981154_gettyimages-185701027.png,"a fighter jet flying in the sky
",0.08979769051074982,22.725954055786133,0.8184919052317676,0.4347208719449914,0.992750346660614,0.6914285714285714,0.03197511285543442,22.066120147705078,0.8041611436799824,1.0,1.0000001192092896,0.9985422740524781,0.01737653836607933,22.66107177734375,0.8136108040289035,0.4347208719449914,0.992750346660614,0.6914285714285714
1-620.png,"a military truck with a large missile on it
",0.17991626262664795,21.201568603515625,0.6542383921107466,0.4671379777282001,0.9980916976928711,0.855940934065934,0.05779794603586197,19.426748275756836,0.5639358767777991,0.4671379777282001,0.9980916976928711,0.855940934065934,0.04587371647357941,20.487899780273438,0.6359168637883543,0.4671379777282001,0.9980916976928711,0.855940934065934
1-lexus-ls500h-2018-rt-hero-front_0.png,"the new lexus is driving on a country road
",0.10607682168483734,20.782276153564453,0.7179216085211718,3.690840039559348e-232,0.9448208212852478,0.058823529411764705,0.04552663862705231,18.863126754760742,0.6367314846849043,3.690840039559348e-232,0.9425646662712097,0.058823529411764705,0.011306394822895527,20.318986892700195,0.7005352744327397,3.690840039559348e-232,0.9445988535881042,0.058823529411764705
_109898488_mediaitem109898487.png,"a man in camouflage stands in front of a helicopter
",0.1280137598514557,23.487865447998047,0.8141345832093128,8.612150057732663e-155,0.9777088165283203,0.446,0.011520598083734512,23.208911895751953,0.8097318188574578,8.612150057732663e-155,0.9777088165283203,0.446,0.01942305825650692,23.293312072753906,0.80691333842249,5.233427736988301e-155,0.9222504496574402,0.09803921568627452
1d52bb2b7f50c088e299598865f719e7.png,"a large jetliner on the runway at night
",0.11472775042057037,21.788225173950195,0.7484551229387354,0.4854917717073234,0.9792962074279785,0.8301839254220206,0.029682420194149017,20.76614761352539,0.713520438762153,0.47987820666906633,0.955233097076416,0.8335382345709367,0.08410501480102539,20.91504669189453,0.6994429016152467,0.3672056269893592,0.9489685297012329,0.7095046854082998
