Image Name,Caption,LPIPS,PSNR,SSIM,BLEU,BERT,METEOR,LPIPS(diff_res),PSNR(diff_res),SSIM(diff_res),BLEU(diff_res),BERT(diff_res),METEOR(diff_res),LPIPS(diff_up),PSNR(diff_up),SSIM(diff_up),BLEU(diff_up),BERT(diff_up),METEOR(diff_up)
_100300374_gettyimages-477389793.png,"a large propeller plane parked on the tarmac
",0.16480401158332825,20.076885223388672,0.6189290279715534,5.072841446586652e-78,0.9307525753974915,0.5575,0.051673248410224915,18.4102725982666,0.5382323820657903,4.1927887725759647e-78,0.9174103736877441,0.5439024390243904,0.10790479183197021,18.572105407714844,0.5312169925296643,0.24808415001701817,0.9392847418785095,0.5831325301204818
000_1H95VB.width-800.png,"a large airplane flying through the air with propellers
",0.20598791539669037,21.610382080078125,0.7712841554517044,0.7514772930752859,0.9887592792510986,0.7942949907235621,0.03608711063861847,20.37886619567871,0.7385536649576033,0.32668286409255015,0.9861751794815063,0.5499999999999999,0.0631336122751236,20.631752014160156,0.7330011939267488,0.7514772930752859,0.9887592792510986,0.7942949907235621
1l-Image-Abrams-M1A2-SEPV3-.png,"the m1a1 tank is on display in a warehouse
",0.2095331996679306,17.43575668334961,0.5119929342245028,4.284993070788676e-78,0.921940267086029,0.4043478260869566,0.08008956164121628,15.331457138061523,0.34783928122022684,4.2338646970116024e-78,0.9055771827697754,0.4213483146067415,0.034553952515125275,16.858047485351562,0.48320559839157445,4.954356947008765e-78,0.9372988343238831,0.5438202247191011
_83539969_b47a9225-6db2-4f83-975d-576edf0279e6.png,"a large military plane flying through the air
",0.16683164238929749,21.984336853027344,0.7080879003116676,0.5410822690539396,0.9941456913948059,0.7361111111111112,0.05200129374861717,21.08393669128418,0.6715087644743412,0.3672056269893592,0.9495478272438049,0.7095046854082998,0.06760625541210175,21.220420837402344,0.6655928999896474,0.3672056269893592,0.9753167033195496,0.7095046854082998
000_1LC27X-e1570900274807-1024x640.png,"turkish soldiers ride on a tank in the town of al-bab, in the syrian province of aleppo, on january 29, 2015
",0.18381895124912262,20.053464889526367,0.5726646038933639,2.279831007364591e-155,0.7763363718986511,0.10050251256281408,0.03312808275222778,19.481121063232422,0.5479351990470578,2.279831007364591e-155,0.7763363718986511,0.10050251256281408,0.06288720667362213,19.456838607788086,0.5371698541876551,2.6243749087496004e-155,0.782802164554596,0.1
_107981154_gettyimages-185701027.png,"a fighter jet flying in the sky
",0.17847061157226562,22.191761016845703,0.7338482558444811,0.5706745777055999,0.9893977046012878,0.9349145063430778,0.052423667162656784,20.56104850769043,0.6857408315878983,0.4347208719449914,0.992750346660614,0.6914285714285714,0.03969466686248779,21.8834228515625,0.7032669332122344,0.4347208719449914,0.992750346660614,0.6914285714285714
1-620.png,"a military truck with a large missile on it
",0.21641457080841064,20.56626319885254,0.605294574300149,0.8633400213704505,0.9968491196632385,0.8880208333333333,0.06034122407436371,19.242841720581055,0.5384497238567625,0.4671379777282001,0.9980916976928711,0.855940934065934,0.05572003871202469,19.794570922851562,0.5704819189295058,0.4671379777282001,0.9980916976928711,0.855940934065934
1-lexus-ls500h-2018-rt-hero-front_0.png,"the new lexus is driving on a country road
",0.19434180855751038,20.416065216064453,0.6325067095858151,1.4875195904069663e-231,0.8749081492424011,0.2222222222222222,0.06127210706472397,19.514890670776367,0.5953669772227358,1.4875195904069663e-231,0.8749081492424011,0.2222222222222222,0.05630669370293617,19.48666000366211,0.5779370924225841,1.4875195904069663e-231,0.8749081492424011,0.2222222222222222
_109898488_mediaitem109898487.png,"a man in camouflage stands in front of a helicopter
",0.17405687272548676,22.969093322753906,0.7418906678643596,1.0244914152188952e-231,0.9327899217605591,0.05000000000000001,0.042903829365968704,22.171588897705078,0.708030050932759,0.45936133207830593,0.9865091443061829,0.6988249845392702,0.05010716989636421,22.314971923828125,0.702310069297194,6.373704167435469e-155,0.937209963798523,0.15
1d52bb2b7f50c088e299598865f719e7.png,"a large jetliner on the runway at night
",0.17220839858055115,21.38934898376465,0.6686937402783534,6.8489908526642754e-155,0.9138575196266174,0.38490853658536583,0.06659158319234848,20.280771255493164,0.6108594603856689,0.3672056269893592,0.9395415186882019,0.7095046854082998,0.06374448537826538,20.69841194152832,0.6207957990950639,0.537284965911771,0.945503294467926,0.8437033349925335
1-helicopter-1.png,"a military helicopter flying in the air over a mountain range
",0.14657709002494812,18.75921630859375,0.6574314788764211,0.38875142041440197,0.9396756887435913,0.6226379440665155,0.04666699841618538,17.408140182495117,0.6105110793499021,0.38875142041440197,0.9396756887435913,0.6226379440665155,0.019889071583747864,18.535825729370117,0.6482457399554348,0.38875142041440197,0.9396756887435913,0.6226379440665155
